L_m,W_m,k_W_mK,T_hot_K,T_cold_K,Tmax_K,Tavg_K
0.04,0.015,10,333.15,273.15,333.15,285.356255386528
0.04,0.015,10,333.15,293.15,333.15,301.287503591021
0.04,0.015,10,373.15,273.15,373.15,293.493758977553
0.04,0.015,10,373.15,293.15,373.15,309.425007182045
0.04,0.015,25,333.15,273.15,333.15,285.356255386528
0.04,0.015,25,333.15,293.15,333.15,301.287503591021
0.04,0.015,25,373.15,273.15,373.15,293.493758977553
0.04,0.015,25,373.15,293.15,373.15,309.425007182045
0.04,0.015,60,333.15,273.15,333.15,285.356255386528
0.04,0.015,60,333.15,293.15,333.15,301.287503591021
0.04,0.015,60,373.15,273.15,373.15,293.493758977553
0.04,0.015,60,373.15,293.15,373.15,309.425007182045
0.04,0.03,10,333.15,273.15,333.15,296.879422525423
0.04,0.03,10,333.15,293.15,333.15,308.96961501695
0.04,0.03,10,373.15,273.15,373.15,312.699037542374
0.04,0.03,10,373.15,293.15,373.15,324.789230033901
0.04,0.03,25,333.15,273.15,333.15,296.879422525423
0.04,0.03,25,333.15,293.15,333.15,308.96961501695
0.04,0.03,25,373.15,273.15,373.15,312.699037542374
0.04,0.03,25,373.15,293.15,373.15,324.7892300339
0.04,0.03,60,333.15,273.15,333.15,296.879422525423
0.04,0.03,60,333.15,293.15,333.15,308.96961501695
0.04,0.03,60,373.15,273.15,373.15,312.699037542374
0.04,0.03,60,373.15,293.15,373.15,324.789230033901
0.08,0.015,10,333.15,273.15,333.15,279.255924538172
0.08,0.015,10,333.15,293.15,333.15,297.220616358782
0.08,0.015,10,373.15,273.15,373.15,283.326540896955
0.08,0.015,10,373.15,293.15,373.15,301.291232717568
0.08,0.015,25,333.15,273.15,333.15,279.255924538172
0.08,0.015,25,333.15,293.15,333.15,297.220616358782
0.08,0.015,25,373.15,273.15,373.15,283.326540896955
0.08,0.015,25,373.15,293.15,373.15,301.291232717568
0.08,0.015,60,333.15,273.15,333.15,279.255924538172
0.08,0.015,60,333.15,293.15,333.15,297.220616358782
0.08,0.015,60,373.15,273.15,373.15,283.326540896955
0.08,0.015,60,373.15,293.15,373.15,301.291232717568
0.08,0.03,10,333.15,273.15,333.15,285.356255386528
0.08,0.03,10,333.15,293.15,333.15,301.287503591021
0.08,0.03,10,373.15,273.15,373.15,293.493758977553
0.08,0.03,10,373.15,293.15,373.15,309.425007182045
0.08,0.03,25,333.15,273.15,333.15,285.356255386528
0.08,0.03,25,333.15,293.15,333.15,301.287503591021
0.08,0.03,25,373.15,273.15,373.15,293.493758977553
0.08,0.03,25,373.15,293.15,373.15,309.425007182045
0.08,0.03,60,333.15,273.15,333.15,285.356255386528
0.08,0.03,60,333.15,293.15,333.15,301.287503591021
0.08,0.03,60,373.15,273.15,373.15,293.493758977553
0.08,0.03,60,373.15,293.15,373.15,309.425007182045
