Fc_uN,Ff_uN,theta_deg,max_v_Mises_Pa,max_disp_m,max_ep1
0.2,0.1,30,54153831.0901639,2.20497670826414e-05,0.0270618923797896
0.2,0.3,30,14764780.4411218,2.94522206016606e-06,0.0075764950341562
0.4,0.2,30,77292919.464198,2.79139849803533e-05,0.0378546641115809
0.6,0.1,30,141433815.506719,4.46007131159306e-05,0.0651231659778537
0.6,0.3,30,92329651.9869158,3.07909121929016e-05,0.0446517107731249
0.2,0.1,45,29495708.704353,1.22904146470547e-05,0.0151526906555864
0.2,0.3,45,23840980.433674,8.99186644639703e-06,0.0123635077336207
0.4,0.2,45,41826354.0212667,1.55672813386167e-05,0.0212973811722578
0.6,0.1,45,94714046.0100629,3.19636039500294e-05,0.0456571170515076
0.6,0.3,45,50014916.1284523,1.71821565137397e-05,0.0253197937198412
0.2,0.1,75,18896579.4767661,7.73320080521287e-06,0.00982301772229531
0.2,0.3,75,87798662.5610386,3.21123153990643e-05,0.0424632744818573
0.4,0.2,75,27029007.5596093,9.79731257036487e-06,0.0139892417213948
0.6,0.1,75,23466149.0752557,5.08624533006393e-06,0.0119068245390339
0.6,0.3,75,32662828.683136,1.08199273851859e-05,0.0168513179146506
0.2,0.1,90,42624050.8442364,1.76201970166215e-05,0.021574838821478
0.2,0.3,90,124134818.362546,4.28960142813393e-05,0.0579027598752988
0.4,0.2,90,60534709.165662,2.231190364518e-05,0.0301890213454951
0.6,0.1,90,26365151.7155385,8.67078887057399e-06,0.0136824693298656
0.6,0.3,90,72220231.9608839,2.46178646705242e-05,0.0356798989672755
