Fc_uN,Ff_uN,theta_deg,max_v_Mises_Pa,max_disp_m,max_ep1
0.2,0.1,60.0,10446685.2680682,2.30384988601803e-06,0.0053998006208308
0.2,0.2,60.0,27385892.8900322,1.09694707465772e-05,0.0141239706495587
0.2,0.3,60.0,54147011.9128403,2.07457833391537e-05,0.0271484393170291
0.4,0.1,60.0,35034527.6429561,1.31906473004563e-05,0.0179636700516467
0.4,0.2,60.0,17476194.2344388,2.9257896840563e-06,0.0089264542011581
0.4,0.3,60.0,20400539.2048131,6.00888645094831e-06,0.0104103581459949
0.6,0.1,60.0,53327348.5142909,1.87100237191335e-05,0.0268757242449993
0.6,0.2,60.0,31793947.8443486,1.068113783475e-05,0.0164114870987519
0.6,0.3,60.0,25150065.9183486,3.24011633626241e-06,0.012714927246135
0.2,0.1,30.0,54153831.0901639,2.20497670826414e-05,0.0270618923797896
0.2,0.3,30.0,14764780.4411218,2.94522206016606e-06,0.0075764950341562
0.4,0.2,30.0,77292919.464198,2.79139849803533e-05,0.0378546641115809
0.6,0.1,30.0,141433815.506719,4.46007131159306e-05,0.0651231659778537
0.6,0.3,30.0,92329651.9869158,3.07909121929016e-05,0.0446517107731249
0.2,0.1,45.0,29495708.704353,1.22904146470547e-05,0.0151526906555864
0.2,0.3,45.0,23840980.433674,8.99186644639703e-06,0.0123635077336207
0.4,0.2,45.0,41826354.0212667,1.55672813386167e-05,0.0212973811722578
0.6,0.1,45.0,94714046.0100629,3.19636039500294e-05,0.0456571170515076
0.6,0.3,45.0,50014916.1284523,1.71821565137397e-05,0.0253197937198412
0.2,0.1,75.0,18896579.4767661,7.73320080521287e-06,0.0098230177222953
0.2,0.3,75.0,87798662.5610386,3.21123153990643e-05,0.0424632744818573
0.4,0.2,75.0,27029007.5596093,9.79731257036487e-06,0.0139892417213948
0.6,0.1,75.0,23466149.0752557,5.08624533006393e-06,0.0119068245390339
0.6,0.3,75.0,32662828.683136,1.08199273851859e-05,0.0168513179146506
0.2,0.1,90.0,42624050.8442364,1.76201970166215e-05,0.021574838821478
0.2,0.3,90.0,124134818.362546,4.28960142813393e-05,0.0579027598752988
0.4,0.2,90.0,60534709.165662,2.231190364518e-05,0.0301890213454951
0.6,0.1,90.0,26365151.7155385,8.67078887057399e-06,0.0136824693298656
0.6,0.3,90.0,72220231.9608839,2.46178646705242e-05,0.0356798989672755
0.2,0.2,30.0,27385892.8900303,1.09694707465734e-05,0.0141239706495577
0.4,0.1,30.0,105642596.927707,3.69831085254039e-05,0.0502247567433156
0.4,0.3,30.0,55179478.891184,2.00599064083027e-05,0.0277067044546432
0.6,0.2,30.0,114686871.094921,3.7448157844419e-05,0.0541996742706462
0.2,0.2,45.0,10286347.5749415,1.03538950249437e-07,0.005294230661896
0.4,0.1,45.0,68525691.1388099,2.53233271769782e-05,0.0338564328093523
0.4,0.3,45.0,21163625.9072113,7.10681243213678e-06,0.0110278686150744
0.6,0.2,45.0,70461844.3078251,2.43044401747917e-05,0.0348604232860772
0.2,0.2,75.0,54949462.2014479,2.17321171201048e-05,0.0274778394101413
0.4,0.1,75.0,15257503.876921,8.20506107217554e-07,0.0077928580431992
0.4,0.3,75.0,52135670.628114,1.89852265279171e-05,0.0262668768219631
0.6,0.2,75.0,23745890.9318874,3.19361215432771e-06,0.0120276669482178
0.2,0.2,90.0,84928498.0035432,3.20963252557458e-05,0.0411312816768403
0.4,0.1,90.0,31024604.6267928,1.16087207657176e-05,0.0159786998200515
0.4,0.3,90.0,90489636.9357352,3.15929769018004e-05,0.0437459939795104
0.6,0.2,90.0,48776628.1256788,1.6965275853216e-05,0.0247147329184871
0.25,0.15,60.0,11030002.2805771,7.27552912075139e-07,0.0056643606275085
0.25,0.25,60.0,30657760.2312533,1.18337551423348e-05,0.015778350927091
0.35,0.15,60.0,16866527.3826331,5.50927548301794e-06,0.0086602147019063
0.35,0.25,60.0,17757027.3928619,4.65297792861609e-06,0.0090887344792259
0.45,0.15,60.0,27800586.1979931,9.95548309554876e-06,0.0143825573270043
0.45,0.25,60.0,18884463.2598668,8.62010784276812e-07,0.0096036678195118
0.55,0.15,60.0,37718950.9016673,1.32760617237596e-05,0.0193311854864034
0.55,0.25,60.0,23334044.6224943,5.09500764399237e-06,0.0118421147783176
0.3,0.125,60.0,15670570.2094439,5.68101801236946e-06,0.0081685221464727
0.3,0.175,60.0,12655299.8538737,2.43796124019844e-07,0.006494196420777
0.3,0.225,60.0,16738038.60732,5.53846678700318e-06,0.0085970991749592
0.3,0.275,60.0,27723706.1702149,1.03141911021144e-05,0.0143291968775264
0.5,0.125,60.0,38834695.1194921,1.40137714480763e-05,0.0198627199873464
0.5,0.175,60.0,27395682.1609001,9.48977763874701e-06,0.0141899375654047
0.5,0.225,60.0,21564873.1169487,5.17116581933083e-06,0.0109738908226582
0.5,0.275,60.0,20957456.157813,1.10335889919157e-06,0.0106344538900609
0.2,0.1,52.5,17948765.4438056,7.31351348763295e-06,0.0093400424630114
0.2,0.2,52.5,14707488.4955836,5.49979645076795e-06,0.0076753093266585
0.2,0.3,52.5,38539035.9400085,1.49030973463856e-05,0.0196628686249395
0.4,0.1,52.5,51288825.2718715,1.93040692130247e-05,0.0258240626786637
0.4,0.2,52.5,25723265.4432359,9.26642808655692e-06,0.0133321124295873
0.4,0.3,52.5,18287187.7457097,5.88549689148761e-07,0.0093249305522766
0.6,0.1,52.5,73355104.3342294,2.54004962027439e-05,0.0361666386726124
0.6,0.2,52.5,50396738.8122537,1.75384500627812e-05,0.0254897638429315
0.6,0.3,52.5,31141812.2920599,1.02335002002247e-05,0.0160918588745624
0.2,0.1,67.5,10896655.676942,2.72587127894583e-06,0.0056352440230144
0.2,0.2,67.5,40831080.4507167,1.63889846189174e-05,0.0207415783107303
0.2,0.3,67.5,70589959.9861243,2.64887320044531e-05,0.0347640171366111
0.4,0.1,67.5,19839482.9312561,7.01572997341748e-06,0.0103404495739819
0.4,0.2,67.5,17701702.724296,3.45790515852548e-06,0.0090456490636999
0.4,0.3,67.5,34703660.2787162,1.25271844584814e-05,0.0178269765980631
0.6,0.1,67.5,34713371.5313839,1.19274737412316e-05,0.017858001952207
0.6,0.2,67.5,23900986.0624714,3.77396473495965e-06,0.0121087695751807
0.6,0.3,67.5,25225310.5422693,3.82398993749989e-06,0.0127582834778967
0.28,0.15,60.0,12402398.8429641,1.40109875035272e-06,0.0063678190635278
0.28,0.25,60.0,25195170.1090142,9.46629997984072e-06,0.0130501083782807
0.32,0.15,60.0,15141047.3010917,3.86988062293576e-06,0.0077787003387717
0.32,0.25,60.0,18784629.0685588,6.6020353035557e-06,0.0098000894528187
0.48,0.15,60.0,30953781.952667,1.10493714228175e-05,0.0159667898532524
0.48,0.25,60.0,20309802.0948844,2.23529395286261e-06,0.0103248215246301
0.52,0.15,60.0,34914027.4871875,1.23717196337098e-05,0.0179417377992074
0.52,0.25,60.0,22081305.3601299,3.92688794328114e-06,0.0112157298354563
0.3,0.14,60.0,14533604.6586083,3.8639701166226e-06,0.0074761921111483
0.3,0.16,60.0,13208652.9906749,1.51638042444322e-06,0.0067750560280784
0.3,0.24,60.0,19506221.1435139,7.02849958514603e-06,0.0101660455542437
0.3,0.26,60.0,24227988.171205,8.93831841195869e-06,0.012567107729866
0.5,0.14,60.0,35280021.2807866,1.26376441440671e-05,0.0181167793387713
0.5,0.16,60.0,30701514.4457818,1.08273546889401e-05,0.0158458765319329
0.5,0.24,60.0,21346806.7496879,3.92191552007536e-06,0.0108537193907707
0.5,0.26,60.0,21099095.9577571,2.29181835648982e-06,0.0107157146984807
0.29,0.15,60.0,13143421.0430087,2.05118460503076e-06,0.006750800703851
0.31,0.15,60.0,14509474.2560482,3.28476383776903e-06,0.007454448762772
0.3,0.145,60.0,14182437.8082736,3.26869329514842e-06,0.0072909553372992
0.3,0.155,60.0,13520074.6507261,2.09462459503003e-06,0.0069404256779052
0.29,0.145,60.0,13494369.7070135,2.64864705486301e-06,0.00693656823289
0.29,0.155,60.0,12806698.6989881,1.46001191742578e-06,0.0065721510649146
0.31,0.145,60.0,14834272.4876193,3.86692321472246e-06,0.0076259510663029
0.31,0.155,60.0,14196885.0810364,2.70780550792506e-06,0.0072890425997603
0.49,0.25,60.0,20816394.4932766,2.67633968021084e-06,0.0105784307946491
0.51,0.25,60.0,21656703.9393292,3.5193622849284e-06,0.0110025219841195
0.5,0.245,60.0,21280922.769195,3.51044577618621e-06,0.0108171422271698
0.5,0.255,60.0,21220799.5307159,2.69900016615236e-06,0.0107779514830895
0.49,0.245,60.0,20833817.126415,3.08591489342053e-06,0.0105923316817156
0.49,0.255,60.0,20704284.5685965,2.26396278500218e-06,0.01052027221166
0.51,0.245,60.0,21710212.1305547,3.92418064641404e-06,0.0110329654412365
0.51,0.255,60.0,21601950.6780285,3.11670251109102e-06,0.0109716470343114
0.3,0.149,60.0,13911079.2034745,2.79636617884794e-06,0.0071475387867713
0.3,0.151,60.0,13778596.8575964,2.5615322172263e-06,0.0070774274089924
