Fc_uN,Ff_uN,theta_deg,max_v_Mises_Pa,max_disp_m,max_ep1
0.2,0.2,30,27385892.8900303,1.09694707465734e-05,0.0141239706495577
0.2,0.3,30,14764780.4410971,2.94522206016753e-06,0.00757649503414525
0.4,0.1,30,105642596.927707,3.69831085254039e-05,0.0502247567433156
0.4,0.3,30,55179478.891184,2.00599064083027e-05,0.0277067044546432
0.6,0.2,30,114686871.094921,3.7448157844419e-05,0.0541996742706462
0.2,0.2,45,10286347.5749415,1.03538950249437e-07,0.00529423066189601
0.2,0.3,45,23840980.4337317,8.99186644643411e-06,0.0123635077336488
0.4,0.1,45,68525691.1388099,2.53233271769782e-05,0.0338564328093523
0.4,0.3,45,21163625.9072113,7.10681243213678e-06,0.0110278686150744
0.6,0.2,45,70461844.3078251,2.43044401747917e-05,0.0348604232860772
0.2,0.2,75,54949462.2014479,2.17321171201048e-05,0.0274778394101413
0.2,0.3,75,87798662.5610542,3.21123153990671e-05,0.042463274481864
0.4,0.1,75,15257503.876921,8.20506107217554e-07,0.00779285804319928
0.4,0.3,75,52135670.628114,1.89852265279171e-05,0.0262668768219631
0.6,0.2,75,23745890.9318874,3.19361215432771e-06,0.0120276669482178
0.2,0.2,90,84928498.0035432,3.20963252557458e-05,0.0411312816768403
0.2,0.3,90,124134818.362628,4.28960142813825e-05,0.057902759875334
0.4,0.1,90,31024604.6267928,1.16087207657176e-05,0.0159786998200515
0.4,0.3,90,90489636.9357352,3.15929769018004e-05,0.0437459939795104
0.6,0.2,90,48776628.1256788,1.6965275853216e-05,0.0247147329184871
0.25,0.15,60,11030002.2805771,7.27552912075139e-07,0.00566436062750858
0.25,0.25,60,30657760.2312533,1.18337551423348e-05,0.015778350927091
0.35,0.15,60,16866527.3826331,5.50927548301794e-06,0.00866021470190633
0.35,0.25,60,17757027.3928619,4.65297792861609e-06,0.00908873447922595
0.45,0.15,60,27800586.1979931,9.95548309554876e-06,0.0143825573270043
0.45,0.25,60,18884463.2598668,8.62010784276812e-07,0.00960366781951182
0.55,0.15,60,37718950.9016673,1.32760617237596e-05,0.0193311854864034
0.55,0.25,60,23334044.6224943,5.09500764399237e-06,0.0118421147783176
0.3,0.125,60,15670570.2094439,5.68101801236946e-06,0.00816852214647273
0.3,0.175,60,12655299.8538737,2.43796124019844e-07,0.00649419642077706
0.3,0.225,60,16738038.60732,5.53846678700318e-06,0.0085970991749592
0.3,0.275,60,27723706.1702149,1.03141911021144e-05,0.0143291968775264
0.5,0.125,60,38834695.1194921,1.40137714480763e-05,0.0198627199873464
0.5,0.175,60,27395682.1609001,9.48977763874701e-06,0.0141899375654047
0.5,0.225,60,21564873.1169487,5.17116581933083e-06,0.0109738908226582
0.5,0.275,60,20957456.157813,1.10335889919157e-06,0.0106344538900609
0.2,0.1,52.5,17948765.4438056,7.31351348763295e-06,0.00934004246301148
0.2,0.2,52.5,14707488.4955836,5.49979645076795e-06,0.00767530932665851
0.2,0.3,52.5,38539035.9400085,1.49030973463856e-05,0.0196628686249395
0.4,0.1,52.5,51288825.2718715,1.93040692130247e-05,0.0258240626786637
0.4,0.2,52.5,25723265.4432359,9.26642808655692e-06,0.0133321124295873
0.4,0.3,52.5,18287187.7457097,5.88549689148761e-07,0.00932493055227667
0.6,0.1,52.5,73355104.3342294,2.54004962027439e-05,0.0361666386726124
0.6,0.2,52.5,50396738.8122537,1.75384500627812e-05,0.0254897638429315
0.6,0.3,52.5,31141812.2920599,1.02335002002247e-05,0.0160918588745624
0.2,0.1,67.5,10896655.676942,2.72587127894583e-06,0.00563524402301448
0.2,0.2,67.5,40831080.4507167,1.63889846189174e-05,0.0207415783107303
0.2,0.3,67.5,70589959.9861243,2.64887320044531e-05,0.0347640171366111
0.4,0.1,67.5,19839482.9312561,7.01572997341748e-06,0.0103404495739819
0.4,0.2,67.5,17701702.724296,3.45790515852548e-06,0.00904564906369993
0.4,0.3,67.5,34703660.2787162,1.25271844584814e-05,0.0178269765980631
0.6,0.1,67.5,34713371.5313839,1.19274737412316e-05,0.017858001952207
0.6,0.2,67.5,23900986.0624714,3.77396473495965e-06,0.0121087695751807
0.6,0.3,67.5,25225310.5422693,3.82398993749989e-06,0.0127582834778967
