"Re","u_mid_upper_m_s","v_mid_upper_m_s","speed_mid_upper_m_s"
"50","-0.0170946884829804","0.0739782709096962","0.0759276823109894"
"60","-0.0101592794061802","0.0855748748265365","0.0861758095966045"
"75","0.00251352504768889","0.0999179248580004","0.0999495348468134"
"100","0.0279817089734884","0.115397007542271","0.118741085504505"
"150","0.0807674660017878","0.121055882111684","0.145526321186883"
"200","0.12005059297583","0.110594202156958","0.163227517363288"
"300","0.161709827525385","0.0878256009527482","0.184020119826613"
"400","0.181108009215677","0.0739573263430095","0.195626677940081"
"600","0.197698722716234","0.0594511915275495","0.206444251888194"
"800","0.204076138489886","0.0518192243785122","0.210552374282822"
