frequency_Hz,inductance_H,conductance_S
500,0.0001142206139829,0.0305130383705301
600,0.0001142157716243,0.0251226626796571
1000,0.0001142039251388,0.014687424185835
1250,0.0001141998119329,0.0116484214370698
2000,0.0001141930113249,0.0071797015642287
2500,0.0001141896747631,0.0057132760709421
4000,0.0001141852280489,0.0035411195789885
5000,0.0001141835517396,0.0028247797019455
6000,0.0001141827737474,0.0023496062761408
10000,0.0001141788381369,0.001406105696979
12000,0.0001141773972839,0.0011709507434012
18000,0.0001141735974783,0.0007804487139795
20000,0.0001141723422986,0.0007017640956291
