DV_V,htc_s_W_m2K,htc_us_W_m2K,Tmax_K,joule_power_W
5,15000,300,605.044295446409,0.0168941993003715
5,15000,400,604.335480364857,0.0168941993003715
5,15000,500,603.629782454133,0.0168941993003715
5,20000,300,539.374091679396,0.0168941993003715
5,20000,400,538.925572046441,0.0168941993003715
5,20000,500,538.478636404746,0.0168941993003715
5,25000,300,496.085486866689,0.0168941993003715
5,25000,400,495.777201157717,0.0168941993003715
5,25000,500,495.469825384779,0.0168941993003714
10,15000,300,1540.72718178564,0.0675767972014859
10,15000,400,1537.89192145942,0.0675767972014859
10,15000,500,1535.06912981653,0.067576797201486
10,20000,300,1278.04636671759,0.0675767972014859
10,20000,400,1276.25228818577,0.0675767972014858
10,20000,500,1274.46454561898,0.0675767972014859
10,25000,300,1104.89194746675,0.0675767972014858
10,25000,400,1103.65880463087,0.0675767972014859
10,25000,500,1102.42930153911,0.0675767972014859
15,15000,300,3101.63682684304,0.152063364792577
15,15000,400,3095.25422270959,0.152063364792577
15,15000,500,3088.89968748711,0.152063364792577
15,20000,300,2510.30218270958,0.152063364792577
15,20000,400,2506.26343785539,0.152063364792578
15,20000,500,2502.23895622643,0.152063364792577
15,25000,300,2120.50513240057,0.152063364792577
15,25000,400,2117.72913949138,0.152063364792577
15,25000,500,2114.96134020228,0.152063364792577
