DV_V,htc_s_W_m2K,htc_us_W_m2K,Tmax_K,joule_power_W
2,15000,300,343.053087271425,0.00270307188805943
2,15000,400,342.939676858377,0.00270307188805943
2,15000,500,342.826765192661,0.00270307188805943
2,20000,300,332.545854668704,0.00270307188805943
2,20000,400,332.474091527431,0.00270307188805943
2,20000,500,332.402581824759,0.00270307188805943
2,25000,300,325.61967789867,0.00270307188805943
2,25000,400,325.570352185235,0.00270307188805943
2,25000,500,325.521172061565,0.00270307188805942
3,15000,300,405.431946360708,0.00608191174813369
3,15000,400,405.176772931349,0.0060819117481337
3,15000,500,404.922721683488,0.0060819117481337
3,20000,300,381.790673004583,0.00608191174813369
3,20000,400,381.62920593672,0.00608191174813369
3,20000,500,381.468309105709,0.00608191174813369
3,25000,300,366.206775272008,0.0060819117481337
3,25000,400,366.095792416778,0.00608191174813369
3,25000,500,365.98513713852,0.00608191174813368
4,15000,300,492.762349085702,0.0108122875522377
4,15000,400,492.308707433508,0.0108122875522377
4,15000,500,491.857060770645,0.0108122875522377
4,20000,300,450.733418674814,0.0108122875522377
4,20000,400,450.446366109723,0.0108122875522377
4,20000,500,450.160327299037,0.0108122875522377
4,25000,300,423.02871159468,0.0108122875522377
4,25000,400,422.831408740938,0.0108122875522377
4,25000,500,422.634688246258,0.0108122875522377
5,15000,300,605.044295446408,0.0168941993003715
5,15000,400,604.335480364855,0.0168941993003715
5,15000,500,603.629782454131,0.0168941993003715
5,20000,300,539.374091679398,0.0168941993003715
5,20000,400,538.925572046442,0.0168941993003715
5,20000,500,538.478636404746,0.0168941993003715
5,25000,300,496.085486866688,0.0168941993003715
5,25000,400,495.777201157717,0.0168941993003715
5,25000,500,495.469825384779,0.0168941993003715
