DV_V,htc_s_W_m2K,htc_us_W_m2K,Tmax_K,joule_power_W
2.0,15000,300,343.053087271425,0.0027030718880594
2.0,15000,400,342.939676858377,0.0027030718880594
2.0,15000,500,342.826765192661,0.0027030718880594
2.0,20000,300,332.545854668704,0.0027030718880594
2.0,20000,400,332.474091527431,0.0027030718880594
2.0,20000,500,332.402581824759,0.0027030718880594
2.0,25000,300,325.61967789867,0.0027030718880594
2.0,25000,400,325.570352185235,0.0027030718880594
2.0,25000,500,325.521172061565,0.0027030718880594
3.0,15000,300,405.431946360708,0.0060819117481336
3.0,15000,400,405.176772931349,0.0060819117481337
3.0,15000,500,404.922721683488,0.0060819117481337
3.0,20000,300,381.790673004583,0.0060819117481336
3.0,20000,400,381.62920593672,0.0060819117481336
3.0,20000,500,381.468309105709,0.0060819117481336
3.0,25000,300,366.206775272008,0.0060819117481337
3.0,25000,400,366.095792416778,0.0060819117481336
3.0,25000,500,365.98513713852,0.0060819117481336
4.0,15000,300,492.762349085702,0.0108122875522377
4.0,15000,400,492.308707433508,0.0108122875522377
4.0,15000,500,491.857060770645,0.0108122875522377
4.0,20000,300,450.733418674814,0.0108122875522377
4.0,20000,400,450.446366109723,0.0108122875522377
4.0,20000,500,450.160327299037,0.0108122875522377
4.0,25000,300,423.02871159468,0.0108122875522377
4.0,25000,400,422.831408740938,0.0108122875522377
4.0,25000,500,422.634688246258,0.0108122875522377
5.0,15000,300,605.044295446408,0.0168941993003715
5.0,15000,400,604.335480364855,0.0168941993003715
5.0,15000,500,603.629782454131,0.0168941993003715
5.0,20000,300,539.374091679398,0.0168941993003715
5.0,20000,400,538.925572046442,0.0168941993003715
5.0,20000,500,538.478636404746,0.0168941993003715
5.0,25000,300,496.085486866688,0.0168941993003715
5.0,25000,400,495.777201157717,0.0168941993003715
5.0,25000,500,495.469825384779,0.0168941993003715
5.4,15000,300,656.943506208692,0.0197053940639532
5.4,15000,500,655.293618254501,0.0197053940639533
5.4,25000,300,529.853951881306,0.0197053940639533
5.4,25000,500,529.135844328807,0.0197053940639533
6.0,15000,300,742.277785442831,0.0243276469925348
6.0,15000,500,740.240886733953,0.0243276469925348
6.0,25000,300,585.377101088032,0.0243276469925348
6.0,25000,500,584.490548554083,0.0243276469925348
6.6,15000,300,836.594620385823,0.0294364528609673
6.6,15000,500,834.12997294808,0.0294364528609673
6.6,25000,300,646.744792316517,0.0294364528609673
6.6,25000,500,645.672063750438,0.0294364528609673
