DV_V,htc_s_W_m2K,htc_us_W_m2K,Tmax_K,joule_power_W
5.4,15000,400,656.116744297569,0.0197053940639533
5.4,20000,300,580.345780534848,0.0197053940639533
5.4,20000,400,579.822627234972,0.0197053940639533
5.4,20000,500,579.301321502496,0.0197053940639533
5.4,25000,400,529.494367430361,0.0197053940639533
6,15000,400,741.257091725397,0.0243276469925348
6,20000,300,647.712692018331,0.0243276469925348
6,20000,400,647.066823746877,0.0243276469925348
6,20000,500,646.423236422836,0.0243276469925348
6,25000,400,584.933169667113,0.0243276469925348
6.6,15000,400,835.359580987725,0.0294364528609673
6.6,20000,300,722.170857342178,0.0294364528609673
6.6,20000,400,721.38935673372,0.0294364528609673
6.6,20000,500,720.610616071628,0.0294364528609673
6.6,25000,400,646.207635297206,0.0294364528609673
