DV_V,htc_s_W_m2K,htc_us_W_m2K,Tmax_K,joule_power_W
5.4,15000,300,656.943506208692,0.0197053940639532
5.4,15000,500,655.293618254501,0.0197053940639533
5.4,25000,300,529.853951881306,0.0197053940639533
5.4,25000,500,529.135844328807,0.0197053940639533
6,15000,300,742.277785442831,0.0243276469925348
6,15000,500,740.240886733953,0.0243276469925348
6,25000,300,585.377101088032,0.0243276469925348
6,25000,500,584.490548554083,0.0243276469925348
6.6,15000,300,836.594620385823,0.0294364528609673
6.6,15000,500,834.12997294808,0.0294364528609673
6.6,25000,300,646.744792316517,0.0294364528609673
6.6,25000,500,645.672063750438,0.0294364528609673
